,Customer_ID,call_failure,complains,sub_length,charge_amount,total_sec_calls,total_num_sms,distinct_call_nums,tariff_plan,status,age,customer_value,Churn,Cluster_KMeans
0,22378,8,0,38,0,4370,5,17,1,1,30,197.64,0,0
1,22379,0,0,39,0,318,7,4,1,2,25,46.035,0,0
2,22380,10,0,37,0,2453,359,24,1,1,30,1536.52,0,3
3,22381,10,0,38,0,4198,1,35,1,1,15,240.02,0,1
4,22382,3,0,38,0,2393,2,33,1,1,15,145.805,0,0
5,22383,11,0,38,1,3775,32,28,1,1,30,282.28,0,1
6,22384,4,0,38,0,2360,285,18,1,1,30,1235.96,0,3
7,22385,13,0,37,2,9115,144,43,1,1,30,945.44,0,3
8,22386,7,0,38,0,13773,0,44,1,1,30,557.68,0,1
9,22387,7,0,38,1,4515,2,25,1,1,30,191.92,0,1
10,22388,6,0,38,0,5918,7,12,1,1,30,268.52,0,0
11,22389,9,0,38,0,2238,8,17,1,2,30,123.68,0,0
12,22390,25,0,38,3,15140,54,32,1,1,30,830.6,0,2
13,22391,4,0,38,1,3095,483,8,1,1,30,2056.88,0,3
14,22392,9,0,37,0,15485,150,30,1,1,25,1380.015,0,3
15,22393,3,0,37,1,6500,186,26,1,1,30,1007.44,0,3
16,22394,0,0,37,0,875,0,11,1,2,25,40.005,1,0
17,22395,2,0,38,0,710,13,8,1,2,30,80.96,0,0
18,22396,0,0,37,0,0,0,0,1,2,25,0.0,1,0
19,22397,3,0,37,0,7508,384,43,1,1,25,2071.575,0,3
20,22398,7,0,37,1,11465,11,47,1,1,45,317.975,0,1
21,22399,8,0,37,1,6718,108,37,1,1,25,791.685,0,3
22,22400,23,1,33,0,955,16,17,1,2,25,117.09,1,1
23,22401,21,1,36,8,10435,1,42,2,1,55,159.42,0,2
24,22402,13,1,36,1,5818,26,24,1,1,25,383.22,1,1
25,22403,1,0,34,0,2840,0,14,1,1,30,114.48,0,0
26,22404,9,0,35,0,2990,9,16,1,2,30,157.24,1,0
27,22405,9,1,36,0,2268,34,31,1,2,30,228.48,1,0
28,22406,0,0,36,0,133,0,2,1,2,30,5.4,1,0
29,22407,1,0,36,0,1668,0,6,1,1,30,67.72,0,0
30,22408,3,0,33,1,6785,14,22,1,1,55,124.23,0,1
31,22409,0,1,36,0,628,9,4,1,2,45,38.375,1,0
32,22410,0,0,36,1,338,4,2,1,1,55,11.13,0,0
33,22411,25,0,31,3,16075,0,80,2,1,25,734.085,0,2
34,22412,6,0,34,3,6965,271,33,2,1,25,1538.145,0,3
35,22413,2,0,36,0,3718,2,28,1,1,25,180.0,0,0
36,22414,3,0,35,0,1665,38,20,1,2,30,220.36,0,0
37,22415,6,0,36,0,2780,175,23,1,1,25,914.985,0,3
38,22416,4,0,27,1,1315,193,11,2,1,25,929.295,0,3
39,22417,4,0,26,0,1568,30,68,1,1,45,115.175,0,1
40,22418,11,0,27,0,700,10,7,1,2,25,77.625,0,0
41,22419,0,0,26,0,825,21,3,1,2,45,73.375,1,0
42,22420,10,0,25,0,1225,19,13,1,1,25,142.065,0,0
43,22421,2,0,25,0,3225,8,23,1,1,30,163.44,0,0
44,22422,2,0,18,0,1695,28,14,1,1,25,203.445,0,0
45,22423,16,0,17,1,6393,85,42,2,1,25,676.53,0,1
46,22424,12,0,15,0,8933,73,40,1,1,45,410.1,0,1
47,22425,8,0,16,3,2853,31,19,2,1,30,239.92,0,1
48,22426,2,0,9,1,4390,215,10,1,1,30,1037.2,0,3
49,22427,3,0,9,1,1488,0,7,1,1,30,60.28,1,0
50,22428,11,0,40,1,4430,10,19,1,1,30,220.16,0,1
51,22429,3,0,41,1,378,12,6,1,1,30,63.44,0,0
52,22430,13,0,39,1,2513,364,26,1,1,30,1559.04,0,3
53,22431,13,0,40,1,4258,6,37,1,1,15,270.985,0,1
54,22432,6,0,40,1,2453,7,35,1,1,25,144.63,0,1
55,22433,14,0,40,2,3835,37,30,2,1,30,304.8,0,1
56,22434,7,0,40,1,2420,290,20,1,1,30,1258.48,0,3
57,22435,16,0,39,3,9175,149,45,1,1,30,967.96,0,2
58,22436,10,0,40,1,13833,5,46,1,1,30,580.2,0,1
59,22437,10,0,40,2,4575,7,27,1,1,30,214.44,0,1
60,22438,9,0,40,1,5978,12,14,1,1,30,291.04,0,1
61,22439,12,0,40,1,2298,13,19,1,1,30,146.2,0,1
62,22440,28,0,40,4,15200,59,34,1,1,30,853.12,0,2
63,22441,7,0,40,2,3155,488,10,1,1,30,2079.4,0,3
64,22442,12,0,39,1,15545,155,32,1,1,25,1405.35,0,3
65,22443,6,0,39,2,6560,191,28,1,1,30,1029.96,0,3
66,22444,3,0,39,1,935,5,13,1,1,25,65.34,0,0
67,22445,5,0,40,1,770,18,10,1,1,30,103.48,0,0
68,22446,3,1,39,1,60,5,2,1,1,25,25.335,1,0
69,22447,6,0,39,1,7568,389,45,1,1,30,1863.92,0,3
70,22448,10,0,39,2,11525,16,49,2,1,45,332.05,0,1
71,22449,11,0,39,2,6778,113,39,1,1,25,817.02,0,3
72,22450,26,1,35,1,1015,21,19,1,1,30,126.6,1,1
73,22451,24,1,38,9,10495,6,44,2,1,55,167.865,0,2
74,22452,16,0,38,2,5878,31,26,1,1,25,408.555,0,1
75,22453,4,0,36,1,2900,5,16,1,1,30,137.0,0,0
76,22454,12,0,37,1,3050,14,18,1,1,30,179.76,1,1
77,22455,12,1,38,1,2328,39,33,1,1,30,251.0,1,1
78,22456,3,0,38,1,193,5,4,1,1,30,27.92,1,0
79,22457,4,0,38,1,1728,5,8,1,1,45,56.4,0,0
80,22458,6,0,35,2,6845,19,24,1,1,55,132.675,0,1
81,22459,3,0,38,1,688,14,6,1,1,45,52.45,1,0
82,22460,3,0,38,2,398,9,4,1,1,55,19.575,0,0
83,22461,28,0,33,4,16135,5,82,1,1,25,759.42,0,2
84,22462,9,1,36,4,7025,276,35,2,1,30,1389.76,0,3
85,22463,5,0,38,1,3778,7,30,1,1,30,182.52,0,1
86,22464,6,0,37,1,1725,43,22,1,1,30,242.88,0,0
